"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","t"
"22684","05/04/2020",5,4,2020,81,6,"South_Korea","KR","KOR",51225321,"Asia",2020-04-05
"22683","06/04/2020",6,4,2020,47,3,"South_Korea","KR","KOR",51225321,"Asia",2020-04-06
"22682","07/04/2020",7,4,2020,47,6,"South_Korea","KR","KOR",51225321,"Asia",2020-04-07
"22681","08/04/2020",8,4,2020,53,8,"South_Korea","KR","KOR",51225321,"Asia",2020-04-08
"22680","09/04/2020",9,4,2020,39,4,"South_Korea","KR","KOR",51225321,"Asia",2020-04-09
"22679","10/04/2020",10,4,2020,27,4,"South_Korea","KR","KOR",51225321,"Asia",2020-04-10
"22678","11/04/2020",11,4,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-04-11
"22677","12/04/2020",12,4,2020,62,6,"South_Korea","KR","KOR",51225321,"Asia",2020-04-12
"22676","13/04/2020",13,4,2020,25,3,"South_Korea","KR","KOR",51225321,"Asia",2020-04-13
"22675","14/04/2020",14,4,2020,27,5,"South_Korea","KR","KOR",51225321,"Asia",2020-04-14
"22674","15/04/2020",15,4,2020,27,3,"South_Korea","KR","KOR",51225321,"Asia",2020-04-15
"22673","16/04/2020",16,4,2020,22,4,"South_Korea","KR","KOR",51225321,"Asia",2020-04-16
"22672","17/04/2020",17,4,2020,22,1,"South_Korea","KR","KOR",51225321,"Asia",2020-04-17
"22671","18/04/2020",18,4,2020,18,2,"South_Korea","KR","KOR",51225321,"Asia",2020-04-18
"22670","19/04/2020",19,4,2020,8,2,"South_Korea","KR","KOR",51225321,"Asia",2020-04-19
"22669","20/04/2020",20,4,2020,13,2,"South_Korea","KR","KOR",51225321,"Asia",2020-04-20
"22668","21/04/2020",21,4,2020,9,1,"South_Korea","KR","KOR",51225321,"Asia",2020-04-21
"22667","22/04/2020",22,4,2020,11,1,"South_Korea","KR","KOR",51225321,"Asia",2020-04-22
"22666","23/04/2020",23,4,2020,8,2,"South_Korea","KR","KOR",51225321,"Asia",2020-04-23
"22665","24/04/2020",24,4,2020,6,0,"South_Korea","KR","KOR",51225321,"Asia",2020-04-24
"22664","25/04/2020",25,4,2020,10,0,"South_Korea","KR","KOR",51225321,"Asia",2020-04-25
"22663","26/04/2020",26,4,2020,10,2,"South_Korea","KR","KOR",51225321,"Asia",2020-04-26
"22662","27/04/2020",27,4,2020,10,1,"South_Korea","KR","KOR",51225321,"Asia",2020-04-27
"22661","28/04/2020",28,4,2020,14,1,"South_Korea","KR","KOR",51225321,"Asia",2020-04-28
"22660","29/04/2020",29,4,2020,9,2,"South_Korea","KR","KOR",51225321,"Asia",2020-04-29
"22659","30/04/2020",30,4,2020,4,1,"South_Korea","KR","KOR",51225321,"Asia",2020-04-30
"22658","01/05/2020",1,5,2020,9,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-01
"22657","02/05/2020",2,5,2020,6,2,"South_Korea","KR","KOR",51225321,"Asia",2020-05-02
